method,column,row_index
iqr_outlier,BMI,85
iqr_outlier,BMI,97
iqr_outlier,BMI,156
iqr_outlier,BMI,188
iqr_outlier,BMI,201
iqr_outlier,BMI,203
iqr_outlier,BMI,216
iqr_outlier,BMI,294
iqr_outlier,BMI,321
iqr_outlier,BMI,332
iqr_outlier,BMI,355
iqr_outlier,BMI,361
iqr_outlier,BMI,369
iqr_outlier,BMI,374
iqr_outlier,BMI,389
iqr_outlier,BMI,417
iqr_outlier,BMI,426
iqr_outlier,BMI,464
iqr_outlier,BMI,478
iqr_outlier,BMI,528
iqr_outlier,BMI,532
iqr_outlier,BMI,549
iqr_outlier,BMI,556
iqr_outlier,BMI,559
iqr_outlier,BMI,584
iqr_outlier,BMI,614
iqr_outlier,BMI,657
iqr_outlier,BMI,658
iqr_outlier,BMI,670
iqr_outlier,BMI,679
iqr_outlier,BMI,686
iqr_outlier,BMI,697
iqr_outlier,BMI,736
iqr_outlier,BMI,743
iqr_outlier,BMI,756
iqr_outlier,BMI,758
iqr_outlier,BMI,769
iqr_outlier,BMI,782
iqr_outlier,BMI,815
iqr_outlier,BMI,816
iqr_outlier,BMI,835
iqr_outlier,BMI,840
iqr_outlier,BMI,853
iqr_outlier,BMI,863
iqr_outlier,BMI,895
iqr_outlier,BMI,943
iqr_outlier,BMI,948
iqr_outlier,BMI,950
iqr_outlier,BMI,952
iqr_outlier,BMI,979
iqr_outlier,BMI,987
iqr_outlier,BMI,988
iqr_outlier,BMI,1028
iqr_outlier,BMI,1052
iqr_outlier,BMI,1083
iqr_outlier,BMI,1103
iqr_outlier,BMI,1104
iqr_outlier,BMI,1110
iqr_outlier,BMI,1127
iqr_outlier,BMI,1139
iqr_outlier,BMI,1183
iqr_outlier,BMI,1209
iqr_outlier,BMI,1248
iqr_outlier,BMI,1327
iqr_outlier,BMI,1342
iqr_outlier,BMI,1361
iqr_outlier,BMI,1382
iqr_outlier,BMI,1386
iqr_outlier,BMI,1435
iqr_outlier,BMI,1451
iqr_outlier,BMI,1453
iqr_outlier,BMI,1454
iqr_outlier,BMI,1456
iqr_outlier,BMI,1460
iqr_outlier,BMI,1461
iqr_outlier,BMI,1463
iqr_outlier,BMI,1464
iqr_outlier,BMI,1478
iqr_outlier,BMI,1547
iqr_outlier,BMI,1584
iqr_outlier,BMI,1592
iqr_outlier,BMI,1612
iqr_outlier,BMI,1614
iqr_outlier,BMI,1626
iqr_outlier,BMI,1636
iqr_outlier,BMI,1677
iqr_outlier,BMI,1683
iqr_outlier,BMI,1698
iqr_outlier,BMI,1741
iqr_outlier,BMI,1754
iqr_outlier,BMI,1780
iqr_outlier,BMI,1784
iqr_outlier,BMI,1805
iqr_outlier,BMI,1810
iqr_outlier,BMI,1821
iqr_outlier,BMI,1860
iqr_outlier,BMI,1908
iqr_outlier,BMI,1933
iqr_outlier,BMI,1946
iqr_outlier,BMI,1955
iqr_outlier,BMI,1963
iqr_outlier,BMI,1977
iqr_outlier,BMI,1997
iqr_outlier,BMI,1999
iqr_outlier,BMI,2005
iqr_outlier,BMI,2013
iqr_outlier,BMI,2037
iqr_outlier,BMI,2045
iqr_outlier,BMI,2082
iqr_outlier,BMI,2085
iqr_outlier,BMI,2101
iqr_outlier,BMI,2111
iqr_outlier,BMI,2119
iqr_outlier,BMI,2120
iqr_outlier,BMI,2128
iqr_outlier,BMI,2137
iqr_outlier,BMI,2152
iqr_outlier,BMI,2258
iqr_outlier,BMI,2262
iqr_outlier,BMI,2270
iqr_outlier,BMI,2278
iqr_outlier,BMI,2295
iqr_outlier,BMI,2306
iqr_outlier,BMI,2328
iqr_outlier,BMI,2346
iqr_outlier,BMI,2359
iqr_outlier,BMI,2365
iqr_outlier,BMI,2415
iqr_outlier,BMI,2417
iqr_outlier,BMI,2446
iqr_outlier,BMI,2454
iqr_outlier,BMI,2486
iqr_outlier,BMI,2488
iqr_outlier,BMI,2504
iqr_outlier,BMI,2508
iqr_outlier,BMI,2516
iqr_outlier,BMI,2530
iqr_outlier,BMI,2535
iqr_outlier,BMI,2547
